Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0054386","-0,001346","0,071435",0,0,0,"1,4383","0,002822","1,8394E-05","7,3373E-06","0,0011477","1,1908E-06","0,0035028",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/base_link.STL,,BODY-1,com_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head_pan_link,"6,8372E-10","0,0084419","0,042088",0,0,0,"0,0042427","3,8746E-07","-1,3861E-16","3,3793E-14","2,1011E-07","3,2642E-12","4,6187E-07",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/head_pan_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/head_pan_link.STL,,NECK-1,head_pan_origin,head_pan_axis,head_pan,continuous,"0,011996","0,00071768","0,1444",0,0,0,base_link,0,0,1,,,,,,,,,,,,
head_tilt_link,"0,018438","0,00044728","0,041065",0,0,0,"0,06657","5,0882E-05","-2,503E-07","-1,8977E-06","1,4263E-05","1,2974E-08","4,3876E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/head_tilt_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/head_tilt_link.STL,,HEAD-1,head_tilt_origin,head_tilt_axis,head_tilt,continuous,0,"0,0002","0,06104",0,0,0,head_pan_link,0,1,0,,,,,,,,,,,,
l_sho_pitch_link,"0,00352137182401335","0,0407154850483834","-0,00945859812868083",0,0,0,"0,0265849110122631","7,26212411316309E-06","6,5171693357601E-08","1,06977457104858E-08","1,68111887165657E-05","1,56116573724164E-06","1,65455750032948E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_sho_pitch_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_sho_pitch_link.STL,,LARM_1(2)-1,l_sho_p_origin,l_sho_pitch_axis,l_sho_pitch,continuous,"0,012683","0,068258","0,1366",0,0,0,base_link,0,1,0,,,,,,,,,,,,
l_sho_roll_link,"0,000189659734588288","0,0505998821833899","-0,00015618572152401",0,0,0,"0,197011517994657","7,72328719397364E-05","-3,30651837574508E-07","5,34864466021505E-09","5,39299927610623E-05","1,71324199171907E-07","7,72363058962331E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_sho_roll_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_sho_roll_link.STL,,LARM_2(2)-1,l_sho_r_origin,l_sho_roll_axis,l_sho_roll,continuous,"0,00084166","0,049985","-0,03201",0,0,0,l_sho_pitch_link,1,0,0,,,,,,,,,,,,
l_el_link,"3,40772950824242E-06","0,0812441997050536","0,0163078157472427",0,0,0,"0,0742846959386868","0,000257242445168631","2,40125472668084E-09","7,63997467824725E-09","2,53349920387169E-05","-2,81862911803432E-05","0,000251570298661733",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_el_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/l_el_link.STL,,LARM_3(2)-1,l_el_origin,l_el_axis,l_el,continuous,"0,00069168","0,1012",0,0,0,0,l_sho_roll_link,0,0,1,,,,,,,,,,,,
r_sho_pitch_link,"-0,00324300761837326","-0,0407386018885676","-0,00945859812868109",0,0,0,"0,0265849110122628","7,26167934268369E-06","-9,87611207484539E-11","-2,72495337082694E-11","1,68116334870447E-05","-1,56120238923654E-06","1,65455750032945E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_sho_pitch_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_sho_pitch_link.STL,,RARM_1(2)-1,r_sho_p_origin,r_sho_pitch_axis,r_sho_pitch,continuous,"0,011753","-0,067739","0,1366",0,0,0,base_link,0,1,0,,,,,,,,,,,,
r_sho_roll_link,"-0,00018965852905839","-0,0505998890321953","-0,000156184466288206",0,0,0,"0,197011518002432","7,7232874661571E-05","-3,30654304600183E-07","-5,34863006420127E-09","5,39299928078269E-05","-1,71321741828796E-07","7,72363031557339E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_sho_roll_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_sho_roll_link.STL,,RARM_2(2)-1,r_sho_r_origin,r_sho_roll_axis,r_sho_roll,continuous,0,"-0,04999","-0,03201",0,0,0,r_sho_pitch_link,1,0,0,,,,,,,,,,,,
r_el_link,"3,69373478137369E-07","-0,0812441997050545","0,0163078098038721",0,0,0,"0,0742846959386874","0,000257242445168637","1,40129351675067E-08","-7,6399746782357E-09","2,53349920387171E-05","2,81863008773858E-05","0,000251570298661738",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_el_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_el_link.STL,,RARM_3(2)-1,r_el_origin,r_el_axis,r_el,continuous,"-0,00069168","-0,1012",0,0,0,0,r_sho_roll_link,0,0,1,,,,,,,,,,,,
r_hip_yaw_link,0,0,"-0,0359900474652093",0,0,0,"0,00694060291701572","1,66514174382027E-06","7,61187511128963E-14","1,13106493815015E-21","4,14964511041944E-06","4,47500627637193E-22","4,00421747655342E-06",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_hip_yaw_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_hip_yaw_link.STL,,RLEG_1(2)-1,r_hip_y_origin,r_hip_yaw_axis,r_hip_yaw,continuous,0,"-0,0425",0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
r_hip_roll_link,"0,0298644539096895","9,54006661061657E-05","-0,015199101611021",0,0,0,"0,183944855809613","7,35153703278313E-05","-9,12174690443411E-13","-1,99657590840599E-07","7,2145316762463E-05","1,71352044892206E-07","4,46900690426448E-05",0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_hip_roll_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://aurea_urdf_pkg/meshes/r_hip_roll_link.STL,,RLEG_2(2)-1,r_hip_r_origin,r_hip_roll_axis,r_hip_roll,revolute,"-0,054","-0,0005","-0,062",0,0,0,r_hip_yaw_link,1,0,0,0,0,0,0,,,,,,,,
